YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2011,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,13.6,,,1,11.6,15.6,2208,Male,All Races,All Ages,All Grades,"(47.47531977900047, -100.11842104899966)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2011,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,53.3,,,4.2,45.1,61.5,330,Male,All Races,All Ages,All Grades,"(35.466220975000454, -79.15925046299964)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2014,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,32.4,,,1.3,29.9,34.9,2450,Male,All Races,All Ages,All Grades,"(43.65595011300047, -71.50036091999965)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2016,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,23.6,,,0.9,21.8,25.4,4409,Male,All Races,All Ages,All Grades,"(39.766910452000445, -86.14996019399968)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2015,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,18,,,1,16.1,19.9,2783,Male,All Races,All Ages,All Grades,"(43.62538123900049, -72.51764079099962)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2014,NE,Nebraska,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,56.7,,,1.2,54.3,59.1,4545,Female,All Races,All Ages,All Grades,"(41.6410409880005, -99.36572062299967)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2016,HI,Hawaii,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,49.6,,,3.9,42,57.2,347,Male,All Races,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,101BEH,167QUA,2GEN,8AGE,6RAC,6EDU,BRF09,9
2012,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,24.4,,,2.3,19.8,29,694,Female,All Races,18 to 44 Years,All Grades,"(43.23554134300048, -108.10983035299967)",BEH,100BEH,110CSA,3GEN,5AGE,6RAC,6EDU,BRF45,45
2012,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,88,,,0.9,86.3,89.7,3334,Male,All Races,All Ages,All Grades,"(44.353130053000484, -100.3735306369997)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF81,81
2019,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,19.8,,,1,17.8,21.8,2513,Female,All Races,All Ages,All Grades,"(31.31266064400046, -92.44568007099969)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
2018,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,29.4,,,2.1,25.3,33.5,1144,Female,All Races,18 to 44 Years,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,3GEN,5AGE,6RAC,6EDU,BRF45,45
2018,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,39.7,,,4.9,30.1,49.3,158,Male,All Races,All Ages,All Grades,"(35.466220975000454, -79.15925046299964)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF79,79
2013,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,30.3,,,1.2,28,32.6,2551,Male,All Races,All Ages,All Grades,"(43.23554134300048, -108.10983035299967)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2012,WA,Washington,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,61.4,,,1.2,59,63.8,3252,Male,All Races,All Ages,All Grades,"(47.52227862900048, -120.47001078999972)",BEH,101BEH,169QUP,2GEN,8AGE,6RAC,6EDU,BRF06,6
2012,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,30,,,2.6,24.9,35.1,1005,Female,All Races,All Ages,All Grades,"(39.29058096400047, -76.60926011099963)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2014,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF78,78
2015,LA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,98.3,,,0.4,97.6,99,2771,Female,All Races,All Ages,All Grades,"(31.31266064400046, -92.44568007099969)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF81,81
2016,NV,Nevada,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,47.2,,,4.9,37.6,56.8,226,Female,All Races,All Ages,All Grades,"(39.493240390000494, -117.07184056399967)",BEH,101BEH,167QUA,3GEN,8AGE,6RAC,6EDU,BRF10,10
2018,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,27.1,,,3.1,21.1,33.1,374,Male,All Races,All Ages,All Grades,"(43.62538123900049, -72.51764079099962)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
2014,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,67.6,,,2.3,63.1,72.1,840,Female,All Races,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2016,GU,Guam,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,44.9,,,4.4,36.2,53.6,258,Female,All Races,All Ages,All Grades,"(13.444304, 144.793731)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2012,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,12.6,,,0.8,11.1,14.1,3213,Male,All Races,All Ages,All Grades,"(35.47203135600046, -97.52107021399968)",BEH,150BEH,177SCU,2GEN,8AGE,6RAC,6EDU,BRF68,68
2018,IL,Illinois,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,95,,,0.6,93.9,96.1,2450,Male,All Races,All Ages,All Grades,"(40.48501028300046, -88.99771017799969)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF81,81
2019,MI,Michigan,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2018,IA,Iowa,Tobacco Use – Survey Data,E-Cigarette Use (Adults),User Status,BRFSS,Former,%,Percentage,16.1,,,0.7,14.7,17.5,4300,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,107BEH,176EUS,3GEN,8AGE,6RAC,6EDU,BRF64,64
2014,PR,Puerto Rico,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,16.4,,,1,14.4,18.4,2121,Male,All Races,All Ages,All Grades,"(18.220833, -66.590149)",BEH,100BEH,110CSA,2GEN,8AGE,6RAC,6EDU,BRF21,21
2017,FL,Florida,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,62.1,,,1.5,59.1,65.1,4996,Female,All Races,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2018,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,70.3,,,2.9,64.6,76,387,Male,All Races,All Ages,All Grades,"(35.466220975000454, -79.15925046299964)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2016,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,12.1,,,0.7,10.6,13.6,6141,Female,All Races,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
2017,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,67.3,,,3,61.5,73.1,1804,Male,All Races,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2019,WV,West Virginia,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,49.2,,,2.9,43.4,55,445,Female,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,101BEH,167QUA,3GEN,8AGE,6RAC,6EDU,BRF10,10
2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,69,,,7.6,54.1,83.9,59,Female,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2013,MI,Michigan,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,18.3,,,0.7,17,19.6,7187,Female,All Races,All Ages,All Grades,"(44.6613195430005, -84.71439026999968)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2012,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,19.9,,,0.8,18.3,21.5,4357,Female,All Races,All Ages,All Grades,"(35.68094058000048, -85.77449091399967)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF28,28
2015,MD,Maryland,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,1.2,,,0.6,0.1,2.3,1287,Female,All Races,18 to 44 Years,All Grades,"(39.29058096400047, -76.60926011099963)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2016,GU,Guam,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Current Use,BRFSS,,%,Percentage,11.9,,,1.9,8.1,15.7,670,Male,All Races,All Ages,All Grades,"(13.444304, 144.793731)",BEH,107BEH,174ECU,2GEN,8AGE,6RAC,6EDU,BRF51,51
2013,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,63.9,,,3.5,57.1,70.7,319,Male,All Races,All Ages,All Grades,"(32.745510099000455, -89.53803082499968)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2014,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,97.7,,,0.4,97,98.4,3317,Male,All Races,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF81,81
2013,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,72.9,,,2.4,68.2,77.6,780,Female,All Races,All Ages,All Grades,"(38.635790776000476, -92.56630005299968)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2017,PR,Puerto Rico,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,6.6,,,0.9,4.8,8.4,850,Female,All Races,18 to 44 Years,All Grades,"(18.220833, -66.590149)",BEH,100BEH,110CSA,3GEN,5AGE,6RAC,6EDU,BRF45,45
2015,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,88.9,,,0.8,87.4,90.4,2949,Male,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF81,81
2014,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,28.4,,,1,26.5,30.3,2963,Male,All Races,All Ages,All Grades,"(35.466220975000454, -79.15925046299964)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2011,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,0.8,,,0.2,0.3,1.3,3640,Female,All Races,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,150BEH,177SCU,3GEN,8AGE,6RAC,6EDU,BRF68,68
2015,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,7.2,,,0.7,5.7,8.7,2621,Male,All Races,All Ages,All Grades,"(44.39319117400049, -89.81637074199966)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2011,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
2014,WA,Washington,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,6.2,,,0.6,5.1,7.3,4120,Male,All Races,All Ages,All Grades,"(47.52227862900048, -120.47001078999972)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF80,80
2014,SD,South Dakota,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,21.2,,,1.1,19.1,23.3,4080,Female,All Races,All Ages,All Grades,"(44.353130053000484, -100.3735306369997)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF28,28
2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF78,78
2015,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Not Current,%,Percentage,91.3,,,1,89.4,93.2,2473,Male,All Races,All Ages,All Grades,"(39.766910452000445, -86.14996019399968)",BEH,150BEH,179SUS,2GEN,8AGE,6RAC,6EDU,BRF81,81
2016,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,25.8,,,1,23.9,27.7,3093,Male,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2018,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,29.6,,,3.4,23,36.2,344,Female,All Races,All Ages,All Grades,"(43.23554134300048, -108.10983035299967)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2016,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,27.8,,,0.7,26.4,29.2,6207,Male,All Races,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2017,AR,Arkansas,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Current Use,BRFSS,,%,Percentage,3.3,,,1.1,1.2,5.4,447,Female,All Races,18 to 44 Years,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,107BEH,174ECU,3GEN,5AGE,6RAC,6EDU,BRF55,55
2018,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(35.466220975000454, -79.15925046299964)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF78,78
2019,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,72,,,2.9,66.3,77.7,397,Female,All Races,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2013,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,BRFSS,Current,%,Percentage,0.9,,,0.2,0.4,1.4,3046,Female,All Races,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,150BEH,179SUS,3GEN,8AGE,6RAC,6EDU,BRF80,80
2019,NY,New York,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,67.6,,,0.8,66,69.2,7115,Female,All Races,All Ages,All Grades,"(42.82700103200045, -75.54397042699964)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF29,29
2014,GU,Guam,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,4.5,,,0.9,2.7,6.3,698,Female,All Races,18 to 44 Years,All Grades,"(13.444304, 144.793731)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2016,MT,Montana,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,88.5,,,4.1,80.4,96.6,61,Female,All Races,All Ages,All Grades,"(47.06652897200047, -109.42442064499971)",BEH,107BEH,175EFU,3GEN,8AGE,6RAC,6EDU,BRF62,62
2011,CA,California,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Current Use,BRFSS,,%,Percentage,0.5,,,0.2,0.2,0.8,3236,Female,All Races,18 to 44 Years,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,150BEH,177SCU,3GEN,5AGE,6RAC,6EDU,BRF72,72
2016,NV,Nevada,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,57.2,,,6.9,43.7,70.7,111,Male,All Races,All Ages,All Grades,"(39.493240390000494, -117.07184056399967)",BEH,150BEH,178SFU,2GEN,8AGE,6RAC,6EDU,BRF78,78
2018,AR,Arkansas,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,33.1,,,7.3,18.8,47.4,66,Male,All Races,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,107BEH,175EFU,2GEN,8AGE,6RAC,6EDU,BRF61,61
2012,PR,Puerto Rico,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,64.3,,,3.6,57.2,71.4,230,Male,All Races,All Ages,All Grades,"(18.220833, -66.590149)",BEH,101BEH,167QUA,2GEN,8AGE,6RAC,6EDU,BRF09,9
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,26.7,,,0.7,25.4,28,5619,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2015,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,15.2,,,0.6,14,16.4,5480,Male,All Races,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2016,MT,Montana,Tobacco Use – Survey Data,E-Cigarette Use (Adults),Frequency of Use,BRFSS,Every Day,%,Percentage,37.9,,,7.5,23.3,52.5,71,Male,All Races,All Ages,All Grades,"(47.06652897200047, -109.42442064499971)",BEH,107BEH,175EFU,2GEN,8AGE,6RAC,6EDU,BRF61,61
2014,NH,New Hampshire,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,51.2,,,4,43.3,59.1,348,Female,All Races,All Ages,All Grades,"(43.65595011300047, -71.50036091999965)",BEH,101BEH,167QUA,3GEN,8AGE,6RAC,6EDU,BRF10,10
2011,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,BRFSS,Some Days,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,All Grades,"(38.66551020200046, -80.71264013499967)",BEH,150BEH,178SFU,3GEN,8AGE,6RAC,6EDU,BRF79,79
